Vendor County Code,Vendor County,Obligation Year and Month,Number of Families Redeemed,Number of Food Instruments Redeemed,Dollar Amount of Food Instruments,Number of EBT Transactions,Dollar Amount of EBT Transactions,Average Cost per Family,Statewide Infant Formula Rebate,Total Cost Adjusted,Average Cost Adjusted
56,Ventura,2019,14619,504056,"$10,225,501.14 ",54,"$1,772.72 ",$699.59 ,,,
56,Ventura,201901,9047,44478,"$895,533.89 ",,,$98.99 ,,,
56,Ventura,201902,9068,44677,"$898,715.24 ",,,$99.11 ,,,
56,Ventura,201903,8963,43612,"$882,349.32 ",,,$98.44 ,,,
56,Ventura,201904,8864,43666,"$883,652.81 ",,,$99.69 ,,,
56,Ventura,201905,8842,43032,"$873,005.17 ",,,$98.73 ,,,
56,Ventura,201906,8689,42744,"$864,941.78 ",,,$99.54 ,,,
56,Ventura,201907,8774,42608,"$863,899.60 ",,,$98.46 ,,,
56,Ventura,201908,8643,41656,"$844,453.33 ",,,$97.70 ,,,
56,Ventura,201909,8466,40999,"$830,318.57 ",1,$37.98 ,$98.08 ,,,
56,Ventura,201910,8349,40188,"$815,724.38 ",2,$43.35 ,$97.71 ,,,
56,Ventura,201911,8031,38538,"$788,398.03 ",12,$639.54 ,$98.25 ,,,
56,Ventura,201912,7869,37858,"$784,509.02 ",39,"$1,051.85 ",$99.83 ,,,
56,Ventura,2020,13854,47610,"$971,037.62 ",246031,"$9,182,790.99 ",$732.92 ,,,
56,Ventura,202001,8052,31552,"$647,702.32 ",4534,"$159,968.80 ",$100.31 ,,,
56,Ventura,202002,7768,12781,"$257,242.35 ",15279,"$525,691.34 ",$100.79 ,,,
56,Ventura,202003,8038,3242,"$65,244.19 ",21624,"$766,382.75 ",$103.46 ,,,
56,Ventura,202004,8279,27,$727.10 ,21356,"$838,043.77 ",$101.31 ,,,
56,Ventura,202005,8593,8,$121.66 ,22199,"$845,782.75 ",$98.44 ,,,
56,Ventura,202006,8687,,,22131,"$844,436.11 ",$97.21 ,,,
56,Ventura,202007,8915,,,23026,"$861,512.42 ",$96.64 ,,,
56,Ventura,202008,9034,,,23361,"$874,078.28 ",$96.75 ,,,
56,Ventura,202009,8970,,,22958,"$860,149.21 ",$95.89 ,,,
56,Ventura,202010,9119,,,23345,"$871,078.62 ",$95.52 ,,,
56,Ventura,202011,8994,,,22928,"$857,560.68 ",$95.35 ,,,
56,Ventura,202012,9170,,,23290,"$878,106.26 ",$95.76 ,,,
57,Yolo,2019,4782,89623,"$1,703,673.63 ",15962,"$418,387.73 ",$443.76 ,,,
57,Yolo,201901,2141,9852,"$187,581.21 ",,,$87.61 ,,,
57,Yolo,201902,2113,9855,"$188,453.80 ",,,$89.19 ,,,
57,Yolo,201903,2120,9675,"$186,246.35 ",,,$87.85 ,,,
57,Yolo,201904,2144,9869,"$189,574.27 ",,,$88.42 ,,,
57,Yolo,201905,2179,10069,"$191,499.41 ",,,$87.88 ,,,
57,Yolo,201906,2154,9825,"$187,886.29 ",9,$200.85 ,$87.32 ,,,
57,Yolo,201907,2087,9518,"$179,648.43 ",5,$238.42 ,$86.19 ,,,
57,Yolo,201908,2002,9029,"$170,143.78 ",14,$507.57 ,$85.24 ,,,
57,Yolo,201909,1992,7971,"$147,766.75 ",713,"$18,741.56 ",$83.59 ,,,
57,Yolo,201910,1955,3288,"$62,502.92 ",3995,"$98,624.30 ",$82.42 ,,,
57,Yolo,201911,1921,647,"$11,961.57 ",5398,"$143,142.22 ",$80.74 ,,,
57,Yolo,201912,1966,25,$408.85 ,5828,"$156,932.81 ",$80.03 ,,,
57,Yolo,2020,5053,75,"$1,675.27 ",66665,"$2,043,611.91 ",$404.77 ,,,
57,Yolo,202001,2039,18,$422.65 ,6132,"$165,936.29 ",$81.59 ,,,
57,Yolo,202002,1966,34,$717.14 ,5653,"$159,416.65 ",$81.45 ,,,
57,Yolo,202003,2120,7,$80.29 ,5953,"$175,091.43 ",$82.63 ,,,
57,Yolo,202004,2128,12,$288.24 ,5320,"$170,295.48 ",$80.16 ,,,
57,Yolo,202005,2129,4,$166.95 ,5322,"$169,821.53 ",$79.84 ,,,
57,Yolo,202006,2156,,,5249,"$167,723.28 ",$77.79 ,,,
57,Yolo,202007,2228,,,5448,"$171,994.88 ",$77.20 ,,,
57,Yolo,202008,2248,,,5494,"$174,038.81 ",$77.42 ,,,
57,Yolo,202009,2258,,,5354,"$170,135.55 ",$75.35 ,,,
57,Yolo,202010,2312,,,5585,"$170,334.63 ",$73.67 ,,,
57,Yolo,202011,2356,,,5555,"$173,526.79 ",$73.65 ,,,
57,Yolo,202012,2379,,,5600,"$175,296.59 ",$73.68 ,,,
58,Yuba,2019,3449,76182,"$1,419,209.61 ",10321,"$340,534.03 ",$510.22 ,,,
58,Yuba,201901,1727,8156,"$152,887.05 ",,,$88.53 ,,,
58,Yuba,201902,1736,8240,"$156,817.14 ",,,$90.33 ,,,
58,Yuba,201903,1689,8029,"$147,663.94 ",,,$87.43 ,,,
58,Yuba,201904,1703,8244,"$151,322.83 ",,,$88.86 ,,,
58,Yuba,201905,1736,8331,"$155,418.34 ",,,$89.53 ,,,
58,Yuba,201906,1684,8144,"$152,953.68 ",,,$90.83 ,,,
58,Yuba,201907,1721,8305,"$155,019.07 ",,,$90.07 ,,,
58,Yuba,201908,1739,8343,"$152,420.31 ",,,$87.65 ,,,
58,Yuba,201909,1604,6974,"$132,233.58 ",381,"$12,687.96 ",$90.35 ,,,
58,Yuba,201910,1534,2675,"$49,451.55 ",2578,"$81,574.44 ",$85.41 ,,,
58,Yuba,201911,1518,720,"$12,578.04 ",3452,"$113,678.60 ",$83.17 ,,,
58,Yuba,201912,1540,21,$444.08 ,3910,"$132,593.03 ",$86.39 ,,,
58,Yuba,2020,3314,59,"$1,392.71 ",43940,"$1,632,759.80 ",$493.11 ,,,
58,Yuba,202001,1604,23,$552.15 ,4143,"$138,866.08 ",$86.92 ,,,
58,Yuba,202002,1613,32,$566.02 ,4019,"$136,462.29 ",$84.95 ,,,
58,Yuba,202003,1752,3,$154.91 ,4309,"$152,054.70 ",$86.88 ,,,
58,Yuba,202004,1721,1,$119.63 ,3798,"$146,238.93 ",$85.04 ,,,
58,Yuba,202005,1711,,,3637,"$139,485.90 ",$81.52 ,,,
58,Yuba,202006,1628,,,3461,"$136,641.79 ",$83.93 ,,,
58,Yuba,202007,1659,,,3618,"$135,573.41 ",$81.72 ,,,
58,Yuba,202008,1682,,,3500,"$133,304.80 ",$79.25 ,,,
58,Yuba,202009,1611,,,3324,"$129,252.46 ",$80.23 ,,,
58,Yuba,202010,1599,,,3446,"$129,509.25 ",$80.99 ,,,
58,Yuba,202011,1627,,,3411,"$129,719.53 ",$79.73 ,,,
58,Yuba,202012,1591,,,3274,"$125,650.66 ",$78.98 ,,,
