Vendor County Code,Vendor County,Obligation Year and Month,Number of Families Redeemed,Number of EBT Transactions,Dollar Amount of EBT Transactions,Average Cost per Family,Statewide Infant Formula Rebate,Total Cost Adjusted,Average Cost Adjusted
52,Tehama,202102,947,2349,"$73,589.18 ",$77.71 ,,,
52,Tehama,202103,927,2299,"$72,609.01 ",$78.33 ,,,
52,Tehama,202104,913,2272,"$71,896.66 ",$78.75 ,,,
52,Tehama,202105,892,2374,"$70,658.27 ",$79.21 ,,,
52,Tehama,202106,929,2932,"$91,298.49 ",$98.28 ,,,
52,Tehama,202107,932,2976,"$91,699.76 ",$98.39 ,,,
52,Tehama,202108,994,3148,"$95,436.92 ",$96.01 ,,,
52,Tehama,202109,987,3192,"$96,224.19 ",$97.49 ,,,
52,Tehama,202110,998,3051,"$91,723.58 ",$91.91 ,,,
52,Tehama,202111,997,3023,"$93,698.45 ",$93.98 ,,,
52,Tehama,202112,1026,3237,"$95,942.80 ",$93.51 ,,,
53,Trinity,2021,254,4810,"$122,395.95 ",$481.87 ,,,
53,Trinity,202101,142,381,"$8,905.26 ",$62.71 ,,,
53,Trinity,202102,124,304,"$7,874.18 ",$63.50 ,,,
53,Trinity,202103,138,323,"$8,771.16 ",$63.56 ,,,
53,Trinity,202104,125,289,"$8,089.21 ",$64.71 ,,,
53,Trinity,202105,124,328,"$8,866.26 ",$71.50 ,,,
53,Trinity,202106,133,441,"$11,152.81 ",$83.86 ,,,
53,Trinity,202107,128,445,"$10,232.44 ",$79.94 ,,,
53,Trinity,202108,131,478,"$11,306.15 ",$86.31 ,,,
53,Trinity,202109,141,462,"$12,152.90 ",$86.19 ,,,
53,Trinity,202110,140,458,"$11,307.50 ",$80.77 ,,,
53,Trinity,202111,136,438,"$11,448.88 ",$84.18 ,,,
53,Trinity,202112,141,463,"$12,289.20 ",$87.16 ,,,
54,Tulare,2021,20587,393463,"$16,378,500.82 ",$795.57 ,,,
54,Tulare,202101,12380,30209,"$1,286,535.36 ",$103.92 ,,,
54,Tulare,202102,12278,28423,"$1,249,303.39 ",$101.75 ,,,
54,Tulare,202103,12483,29009,"$1,261,017.46 ",$101.02 ,,,
54,Tulare,202104,12393,28490,"$1,249,578.70 ",$100.83 ,,,
54,Tulare,202105,12370,29493,"$1,239,507.21 ",$100.20 ,,,
54,Tulare,202106,12832,37478,"$1,528,721.88 ",$119.13 ,,,
54,Tulare,202107,12834,38298,"$1,527,663.90 ",$119.03 ,,,
54,Tulare,202108,12926,38900,"$1,537,958.64 ",$118.98 ,,,
54,Tulare,202109,12123,36823,"$1,474,732.48 ",$121.65 ,,,
54,Tulare,202110,11547,33191,"$1,344,996.65 ",$116.48 ,,,
54,Tulare,202111,11045,31061,"$1,314,903.81 ",$119.05 ,,,
54,Tulare,202112,11197,32088,"$1,363,581.34 ",$121.78 ,,,
55,Tuolumne,2021,834,12274,"$379,328.36 ",$454.83 ,,,
55,Tuolumne,202101,410,1021,"$30,204.24 ",$73.67 ,,,
55,Tuolumne,202102,393,884,"$27,496.72 ",$69.97 ,,,
55,Tuolumne,202103,358,814,"$25,615.52 ",$71.55 ,,,
55,Tuolumne,202104,332,771,"$23,615.25 ",$71.13 ,,,
55,Tuolumne,202105,373,866,"$26,134.53 ",$70.07 ,,,
55,Tuolumne,202106,389,1044,"$34,665.04 ",$89.11 ,,,
55,Tuolumne,202107,404,1076,"$36,318.19 ",$89.90 ,,,
55,Tuolumne,202108,402,1127,"$36,408.40 ",$90.57 ,,,
55,Tuolumne,202109,413,1234,"$36,673.05 ",$88.80 ,,,
55,Tuolumne,202110,398,1194,"$34,346.70 ",$86.30 ,,,
55,Tuolumne,202111,375,1127,"$33,680.13 ",$89.81 ,,,
55,Tuolumne,202112,380,1116,"$34,170.59 ",$89.92 ,,,
56,Ventura,2021,14369,308031,"$11,646,743.35 ",$810.55 ,,,
56,Ventura,202101,9223,23541,"$883,345.92 ",$95.78 ,,,
56,Ventura,202102,9120,22199,"$861,373.91 ",$94.45 ,,,
56,Ventura,202103,9174,22417,"$857,641.61 ",$93.49 ,,,
56,Ventura,202104,9013,21481,"$835,835.06 ",$92.74 ,,,
56,Ventura,202105,9182,22885,"$837,756.09 ",$91.24 ,,,
56,Ventura,202106,9377,28252,"$1,063,176.51 ",$113.38 ,,,
56,Ventura,202107,9423,28961,"$1,071,789.61 ",$113.74 ,,,
56,Ventura,202108,9389,28997,"$1,068,208.99 ",$113.77 ,,,
56,Ventura,202109,9449,28486,"$1,081,499.89 ",$114.46 ,,,
56,Ventura,202110,9506,27908,"$1,039,043.54 ",$109.30 ,,,
56,Ventura,202111,9246,26274,"$1,014,510.23 ",$109.72 ,,,
56,Ventura,202112,9315,26630,"$1,032,561.99 ",$110.85 ,,,
57,Yolo,2021,5447,72554,"$2,260,536.95 ",$415.01 ,,,
57,Yolo,202101,2355,5697,"$172,979.58 ",$73.45 ,,,
57,Yolo,202102,2237,5150,"$159,556.58 ",$71.33 ,,,
57,Yolo,202103,2287,5131,"$160,069.71 ",$69.99 ,,,
57,Yolo,202104,2273,5148,"$161,265.25 ",$70.95 ,,,
57,Yolo,202105,2329,5387,"$160,589.96 ",$68.95 ,,,
57,Yolo,202106,2423,6578,"$212,078.12 ",$87.53 ,,,
57,Yolo,202107,2476,6849,"$211,847.42 ",$85.56 ,,,
57,Yolo,202108,2460,6893,"$211,853.68 ",$86.12 ,,,
57,Yolo,202109,2445,6915,"$216,523.12 ",$88.56 ,,,
57,Yolo,202110,2383,6415,"$200,171.93 ",$84.00 ,,,
57,Yolo,202111,2323,6154,"$195,535.45 ",$84.17 ,,,
57,Yolo,202112,2333,6237,"$198,066.15 ",$84.90 ,,,
58,Yuba,2021,3338,43401,"$1,596,975.08 ",$478.42 ,,,
58,Yuba,202101,1612,3371,"$127,111.27 ",$78.85 ,,,
58,Yuba,202102,1553,3018,"$118,577.69 ",$76.35 ,,,
58,Yuba,202103,1518,3039,"$117,457.80 ",$77.38 ,,,
58,Yuba,202104,1507,3009,"$115,403.56 ",$76.58 ,,,
58,Yuba,202105,1573,3238,"$116,878.93 ",$74.30 ,,,
58,Yuba,202106,1661,4024,"$150,225.22 ",$90.44 ,,,
58,Yuba,202107,1634,4019,"$142,253.44 ",$87.06 ,,,
58,Yuba,202108,1615,4094,"$144,796.72 ",$89.66 ,,,
58,Yuba,202109,1689,4131,"$148,326.84 ",$87.82 ,,,
58,Yuba,202110,1658,4010,"$139,550.43 ",$84.17 ,,,
58,Yuba,202111,1582,3719,"$135,091.62 ",$85.39 ,,,
58,Yuba,202112,1594,3729,"$141,301.56 ",$88.65 ,,,
